id,parentId,name,description,level,exampleEquipmentTypes,companyId
CAT-ROOT-001,,Equipment Categories,Root category for all equipment classifications,0,ALL,null
CAT-001,CAT-ROOT-001,Lighting Equipment,All lighting-related equipment,1,"LED_SPOTLIGHT,AMBIENT_LIGHTING,LED_STRIP",null
CAT-001-001,CAT-001,LED Lighting,LED-based lighting solutions,2,"LED_SPOTLIGHT,LED_STRIP",null
CAT-001-002,CAT-001,Ambient Lighting,General ambient lighting fixtures,2,AMBIENT_LIGHTING,null
CAT-002,CAT-ROOT-001,Display & Presentation,Equipment for product display and presentation,1,"WALL_HANGER,MOBILE_HANGER,MANNEQUIN,PRESENTATION_TABLE,ACCESSORY_DISPLAY,VALET",null
CAT-002-001,CAT-002,Hanging Systems,Wall and mobile hanging solutions,2,"WALL_HANGER,MOBILE_HANGER",null
CAT-002-002,CAT-002,Mannequins & Displays,Mannequins and display accessories,2,"MANNEQUIN,VALET,ACCESSORY_DISPLAY",null
CAT-002-003,CAT-002,Tables & Surfaces,Presentation tables and surfaces,2,PRESENTATION_TABLE,null
CAT-003,CAT-ROOT-001,Security Equipment,Security and safety equipment,1,"ANTI_THEFT_GATE,ANTI_THEFT_TAG,TAG_DEACTIVATOR,SECURITY_CAMERA,DVR,INTRUSION_ALARM,FIRE_EXTINGUISHER,SMOKE_DETECTOR",null
CAT-003-001,CAT-003,Anti-Theft Systems,Anti-theft detection and prevention,2,"ANTI_THEFT_GATE,ANTI_THEFT_TAG,TAG_DEACTIVATOR",null
CAT-003-002,CAT-003,Surveillance Systems,Video surveillance and monitoring,2,"SECURITY_CAMERA,DVR",null
CAT-003-003,CAT-003,Safety Equipment,Fire and safety protection,2,"FIRE_EXTINGUISHER,SMOKE_DETECTOR,INTRUSION_ALARM",null
CAT-004,CAT-ROOT-001,Point of Sale,Point of sale and payment systems,1,"CASH_REGISTER,PAYMENT_TERMINAL,BARCODE_READER,RECEIPT_PRINTER,CONTACTLESS_PAYMENT_TERMINAL,LOYALTY_SYSTEM,SAFE,CASH_DRAWER",null
CAT-004-001,CAT-004,Payment Processing,Payment terminals and processing,2,"PAYMENT_TERMINAL,CONTACTLESS_PAYMENT_TERMINAL",null
CAT-004-002,CAT-004,Register Systems,Complete cash register systems,2,"CASH_REGISTER,CASH_DRAWER",null
CAT-004-003,CAT-004,Peripheral Devices,Scanners and printers for POS,2,"BARCODE_READER,RECEIPT_PRINTER",null
CAT-004-004,CAT-004,Additional Services,Loyalty and security systems,2,"LOYALTY_SYSTEM,SAFE",null
CAT-005,CAT-ROOT-001,Storage & Organization,Storage and organization solutions,1,"METAL_SHELVING,MODULAR_SHELVING,STORAGE_BIN,UNPACKING_TABLE,SORTING_CART",null
CAT-005-001,CAT-005,Shelving Systems,Storage shelving units,2,"METAL_SHELVING,MODULAR_SHELVING",null
CAT-005-002,CAT-005,Storage Containers,Storage bins and containers,2,STORAGE_BIN,null
CAT-005-003,CAT-005,Work Surfaces,Unpacking and sorting work areas,2,"UNPACKING_TABLE,SORTING_CART",null
CAT-006,CAT-ROOT-001,Technology & IT,IT equipment and technology solutions,1,"COMPUTER,PRINTER,PHONE,TABLET,ACCOUNTING_SOFTWARE,STOCK_MANAGEMENT_SOFTWARE,INTERNAL_MESSAGING_SYSTEM",null
CAT-006-001,CAT-006,Hardware,Computer and communication hardware,2,"COMPUTER,PRINTER,PHONE,TABLET",null
